"refNum","oldId","Стара оферта","Score","Оператор","spo","PV id","PV заглавие"
"Е551","54","Перу – Лима, Наска, Аракипа, Титикака и Мачу Пикчу","0.47","Rual Travel","4551","31-4551","Перу"
"П549","147","Халкидики – Касандра, почивки на море (автобус)","0.47","Emerald Travel","500","123-500","Почивка на Халкидики - Ситония, Гърция с автобус от София и Пловдив - 7 нощувки"
"Е197","255","Тоскана – романтична въздишка","0.47","Rual Travel","3138","31-3138","Тоскана със самолет"
"П962","6","В ритъма на доминиканското слънце – Пунта Кана","0.46","PREMIO TRAVEL","425","92-425","ПОРТУГАЛИЯ – СЛЪНЦЕ, МОРЕ И ВИНО"
"Е207","27","Виетнам – Ханой, Хюе, Хой Ан, Дананг, Златния мост и Сайгон","0.46","2МКО","218","20-218","ВИЕТНАМ"
"Е250","34","Екскурзия – Остров Бали (7 екскурзии включени в цената)","0.46","DeltaTours","884","86-884","Почивка на остров Бали 2026  – Островът на боговете и изкуствата с Бонус 5 екскурзии"
"Е593","242","Самолетна екскурзия до Рим (3 нощувки, панорамна обиколка с екскурзовод)","0.46","Bohemia","6000001575","21-6000001575","Екскурзия в ИТАЛИЯ - РИМ - сърцето на Империята, 3 нощувки със самолет и обслужване на български език!"
"П1158","22","Сейшелите – екзотична почивка сред райски плажове","0.44","Go To Paradise","738","205-738","Екзотична почивка в Картахена, КОЛУМБИЯ с чартърни полети от Мадрид"
"П1072","184","Почивка в Тенерифе (Checkin Concordia Playa 4★)","0.44","Emerald Travel","1641","123-1641","Почивка в Испания - остров Тенерифе, директни чартъри от София - ALUA 4*"
"П1073","181","Скритите съкровища на Тенерифе (чартър от София 2026)","0.43","Go2Holiday","813","85-813","Лято 2026 | Тенерифе, Испания с полет от София"
"Е681","29","Виетнам – Златния мост, Халонг, Ханой, Хой Ан и почивка на о-в Фу Куок","0.42","Alexander Tour","958","55-958","ТРИТЕ БИСЕРА НА АЗИЯ - ТАЙЛАНД, КАМБОДЖА, ВИЕТНАМ - ФЕВРУАРИ 2027"
"П456","97","Почивки на о-в Закинтос – Лято 2026","0.42","Go2Holiday","843","85-843","Лято 2026 | Бодрум, Турция с полет от София"
"П554","166","Луксозна почивка в Албания","0.4","Belprego Travel","1143","121-1143","Почивка в Тирана, Албания с автобус"
"Е196","252","Лазурен бряг и Италианска ривиера","0.4","PREMIO TRAVEL","6","92-6","АМАЛФИЙСКА РИВИЕРА"
"Е485","316","Коледа в Белград","0.4","Rual Travel","3952","31-3952","Коледа - Сараево"
"Е404","8","САЩ – Западен бряг","0.38","Abax.bg","3202","109-3202","КОЛЕДА И НОВА ГОДИНА: Вкусът на Азия -Виетнам и Камбоджа - 12 нощувки"
"Е380","9","САЩ и Канада – Новият свят","0.38","2МКО","1312","20-1312","В СЪРЦЕТО НА АЗИЯ ВИЕТНАМ и КАМБОДЖА"
"Е613","13","САЩ – Бостън, Ню Йорк, Вашингтон, Маями + Торонто и Ниагара","0.38","Boiana MG","1086062390","166-1086062390","Виетнам и Камбоджа с луксозен круиз по великата река Меконг"
"Е301","37","Китай – Необятно разнообразие","0.38","Apollo 2000 Ltd.","362","36-362","Круиз Около Европа 5 държави за 12 дни 09.10.2026"
"Е437","295","Истанбул и Кападокия – запомнящо преживяване","0.38","Dary Travel","338","217-338","Чудесата на Кападокия"
"Е689","298","Кападокия – Бурса – Ескишехир – Анкара","0.38","SunTravel","67","70-67","Екскурзия БАВАРСКИ ЗАМЪЦИ и БОДЕНСКО ЕЗЕРО: неочаквано добра комбинация!"
"Е226","336","Ирландия – 40 нюанса зелено","0.38","Globe Trade","250","104-250","Почивка на о-в Занзибар, 12-20.03.2027г."
