"refNum","Стара оферта","Score","Оператор","ID при оператора (spo)","PV id","PV заглавие"
"Е624","Екскурзия в Швеция, Финландия и Естония – Стокхолм, Хелзинки, Талин","0.67","Bohemia","6000004551","21-6000004551","Екскурзия в ШВЕЦИЯ, ФИНЛАНДИЯ и ЕСТОНИЯ – Стокхолм, Хелзинки и Талин, с включени 2 нощувки на круизен кораб! Със самолет и обслужване на български език!"
"Е655","Косово – новородената държава (22 септември)","0.67","AlbatrosTours","606","139-606","22 Септември екскурзия КОСОВО – новородената държава в сърцето на ДАРДАНИЯ!"
"Е430","Южна Корея и Япония – от Сеул до Токио","0.63","Bohemia","6000005147","21-6000005147","Екскурзия в ЮЖНА КОРЕЯ и ЯПОНИЯ - От Сеул до Токио - Цветовете на Далечния изток!"
"П999","Алания – Лято 2026 (автобусна програма, 7 нощувки)","0.63","Belprego Travel","1151","121-1151","Ранни записвания Алания Лято 2026 от София - Автобусна програма 7 нощувки"
"П1052","Ранни записвания в Белек, Анталия (полет от Пловдив)","0.63","Belprego Travel","1213","121-1213","Ранни записвания в Белек, Анталия - Самолетна програма, 2026 /7 нощувки с полет от Пловдив"
"П1051","Почивка в Албания 2026 – Шенгин на Адриатическо море","0.63","Mistral Travel","1660","136-1660","Почивка в АЛБАНИЯ 2026 на Адриатическо МОРЕ в ШЕНГИН курорт до Черна Гора!"
"П1039","Мечтана Сицилия + бонус 6 екскурзии (Athena Resort 4★)","0.63","Abax.bg","3011","109-3011","Мечтана Сицилия + БОНУС 6 екскурзии - Athena Resort Village 4* Superior полет от София"
"П1130","Сицилия – Athena Resort Village 4★ Superior","0.63","Abax.bg","3083","109-3083","Загадъчна Сицилия + БОНУС 3 екскурзии - Athena Resort Village 4* Superior полет от София"
"П1124","Загадъчна Сицилия + бонус 3 екскурзии (Athena Resort 4★)","0.63","Abax.bg","3083","109-3083","Загадъчна Сицилия + БОНУС 3 екскурзии - Athena Resort Village 4* Superior полет от София"
"Е715","Китай, Хон Конг и Макао","0.6","Rual Travel","3925","31-3925","Китай, Хонг Конг и Макао"
"Е671","Китай и Планините от Аватар – Джангдзяцзи","0.6","WelcomeTravel","807","19-807","КИТАЙ И ПЛАНИНИТЕ ОТ АВАТАР 2026 - 20.09, 05.10"
"П951","Почивка в Хургада, Египет – със самолет от София","0.6","OnexTour","343","94-343","Екскурзия до Египет: Хургада и Кайро с чартър от София"
"П1143","Почивка в Лара, Турция (самолет от Пловдив, петък)","0.6","Emerald Travel","553","123-553","Почивка в Лара, Турция със самолет от София в Петък - 7 нощувки"
"П1050","Тунис 2026 – 8 дни All Inclusive (полет от София)","0.6","Abax.bg","3066","109-3066","Тунис от А до Я - полет от София - 2026"
"Е519","Екскурзия в Мароко – имперските градове","0.6","OnexTour","521","94-521","Екскурзия до Мароко от София: Великолепието на Имперските градове"
"Е235","Екскурзия в Италия – Бари, Пулия (3 нощувки в хотел 3★)","0.6","Bohemia","6000004328","21-6000004328","Екскурзия в ИТАЛИЯ - БАРИ, Пулия - 3 нощувки в хотел 3*! Самолетна програма на български език!"
"Е688","Екскурзия в Италия – Перуджа, Умбрия (4 нощувки в хотел 3★)","0.6","Bohemia","6000004858","21-6000004858","Екскурзия в ИТАЛИЯ - ПЕРУДЖА, Умбрия - 4 нощувки в хотел 3*! Самолетна програма на български език!"
"Е559","Милано и италианските езера","0.6","Geografski Sviat","566","42-566","Италианските езера, Милано и Швейцария с полет от София"
"Е412","Париж – градът на светлината","0.6","Bohemia","6000000855","21-6000000855","Екскурзия във Франция - ПАРИЖ - градът на светлината"
"Е456","Легенди от Румъния – Букурещ, Синая, Бран и Брашов (втора програма)","0.6","AdvenTour","441","138-441","Легенди от Румъния ✔️ Букурещ, Синая, Бран и Брашов ✔️ от Кюстендил и Перник"
"Е612","10 дни Исландия – земя на огън и лед","0.6","2МКО","1717","20-1717","ИСЛАНДИЯ - ЗЕМЯ ОТ ЛАВА И ЛЕД"
"Е669","Кунг Фу и Панди – Шанхай, Чънду, Сиан, Лоян, Пекин","0.57","WelcomeTravel","1255","19-1255","КУНГ ФУ И ПАНДИ ШАНХАЙ - ПЕКИН - 28.06"
"П984","Алания – Лято 2026 (самолет, вторник, 7 нощувки)","0.57","AQUA TOUR","1846","97-1846","АЛАНИЯ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
"П986","Кемер – Лято 2026 (самолет, вторник, 7 нощувки)","0.57","AQUA TOUR","1854","97-1854","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
"П987","Сиде – Лято 2026 (самолет, събота, 7 нощувки)","0.57","AQUA TOUR","1864","97-1864","СИДЕ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН  СЪБОТА  - 7 НОЩУВКИ"
"П1054","Лара – Лято 2026 (самолет, събота, 7 нощувки)","0.57","AQUA TOUR","1860","97-1860","ЛАРА - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"П1081","Алания – Лято 2026 (самолет, събота, 7 нощувки)","0.57","AQUA TOUR","1848","97-1848","АЛАНИЯ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"П1082","Кемер – Лято 2026 (самолет, събота, 7 нощувки)","0.57","AQUA TOUR","1856","97-1856","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"П1038","Автентична Сицилия (Torre Normanna 4★) + 6 екскурзии","0.57","Abax.bg","3007","109-3007","АВТЕНТИЧНА СИЦИЛИЯ - Torre Normanna 4* + БОНУС 6 включени екскурзии - полет от София"
"Е617","Екскурзия в Етиопия – незабравимо пътуване по Северния маршрут","0.57","Bohemia","6000005029","21-6000005029","Екскурзия в ЕТИОПИЯ  – Незабравимо пътуване по Северния исторически път с водач на български език!"
"П1035","Ексклузивно Мароко 2026 – имперските столици (кацане във Фес)","0.56","Abax.bg","3042","109-3042","ЕКСКЛУЗИВНО МАРОКО - ИМПЕРСКИТЕ СТОЛИЦИ - от Фес до Маракеш - хотели 3*/4* - 09.10, 23.10"
"Е692","Екскурзия в Унгария – Будапеща (специална ваканционна програма)","0.56","Bohemia","6000003916","21-6000003916","Екскурзия в УНГАРИЯ - БУДАПЕЩА - Специална ваканционна програма за туристи над 55 години и приятели!"
"Е518","Най-доброто от Италия – Милано, Пиза, Флоренция, Рим","0.54","Bohemia","6000002374","21-6000002374","Най-доброто от Италия - &gt; Милано – Генуа – Пиза – Флоренция  – Сиена – Орвието – Рим, със самолет, на български език! Отстъпки за ранни записвания!"
"Е603","Екскурзия в Китай, Хон Конг и Макао с посещение на Шаолин – с водач от България","0.5","Bohemia","6000005069","21-6000005069","Екскурзия в КИТАЙ - Китай, Хонконг и Макао, с посещение на манастира Шаолин - с водач от България!"
"П1149","Египетски Малдиви – Алмаза Бей","0.5","Abax.bg","3016","109-3016","Египетски Малдиви - Алмаза Бей + Кайро - с полет от София до Марса Матрух"
"Е636","Екскурзия в Испания – Великолепният Мадрид","0.5","Bohemia","6000000919","21-6000000919","Екскурзия в ИСПАНИЯ - Мадрид - в сърцето на Испания!"
"Е396","Страната на баските – със самолет, на български език","0.5","Bohemia","6000002552","21-6000002552","Страната на баските - със самолет, на български език! Гарантирани места!"
"П1125","Мини почивка на Олимпийска Ривиера (Cronwell Platamon 5★)","0.5","WelcomeTravel","7933","19-7933","МИНИ ПОЧИВКА НА ОЛИМПИЙСКА РИВИЕРА, ГЪРЦИЯ - 23.09"
"П456","Почивки на о-в Закинтос – Лято 2026","0.5","Compass Reisen","5731","185-5731","Почивка о-в Тасос | Лято 2026"
"П985","Белек – Лято 2026 (самолет, събота, 7 нощувки)","0.5","Go2Holiday","760","85-760","Лято 2026 | Белек, Турция с полет от София"
"П1131","Почивка в Италия – Римини (хотел Vittoria 4★)","0.5","Bohemia","1100020167","21-1100020167","Почивка в ИТАЛИЯ - РИМИНИ, хотел Vittoria 4* - с директен полет до Римини и обслужване на български език! Гарантирани места!"
"П980","Малдиви – райско приключение","0.5","Karta Holiday","120","98-120","Малдиви – Приключение в рая"
"П455","Остров Крит – Лято 2026 (7 нощувки, самолет)","0.5","Go2Holiday","818","85-818","Лято 2026 | Крит, Гърция с полет от София"
"П1059","Почивка в Коста Брава (редовен полет)","0.5","OnexTour","182","94-182","Почивка в Коста Брава от София"
"П934","Почивка в Италия – Сицилия (хотел Orizzonte 4★)","0.5","Bohemia","1100006300","21-1100006300","Почивка в ИТАЛИЯ - СИЦИЛИЯ, хотел Nike 4* - със самолет и обслужване на български език!"
"П936","Почивка в Кемер 2025 (самолет от София, 7 нощувки)","0.5","Emerald Travel","1377","123-1377","Почивка в Кемер, Турция със самолет от София - 7 нощувки"
"П1056","Почивка в Кемер (самолет от София, петък, 7 нощувки)","0.5","Emerald Travel","1377","123-1377","Почивка в Кемер, Турция със самолет от София - 7 нощувки"
"П829","Почивка в Анталия (полет от Пловдив)","0.5","OnexTour","219","94-219","Почивка в Алания, Турция с полет от Пловдив до Анталия"
"П924","Почивка в Анталия (полет от Бургас)","0.5","Solvex TA","11594","43-11594","Хотели в Бургас"
"Е173","Амалфийска ривиера – Амалфи и крайбрежие","0.5","PREMIO TRAVEL","6","92-6","АМАЛФИЙСКА РИВИЕРА"
"Е396","Страната на баските (самолет, на български)","0.5","Bohemia","6000002552","21-6000002552","Страната на баските - със самолет, на български език! Гарантирани места!"
"Е735","Магичният свят на Вроцлав и Краков","0.5","Bohemia","6000005052","21-6000005052","Екскурзия в ПОЛША - вълшебният свят на Вроцлав и Краков!"
"Е734","Най-доброто от Полша","0.5","Doris","451","111-451","Най-доброто от Барселона"
"Е569","Перлите на Адриатика – екскурзия с автобус (Черна Гора)","0.5","Bohemia","6000001318","21-6000001318","Перлите на Адриатика - екскурзия с автобус"
"Е247","Плитвички езера, Постойна яма, езерото Блед – магията на Балканите","0.45","Dary Travel","350","217-350","Плитвички езера, Блед , пещера Постойна яма и замък Предяма"
"Е684","Опознай Индия – Делхи, Агра, Джайпур, Джодхпур, Удайпур","0.44","AVIVA TRAVEL","4740","183-4740","ИНДИЯ - ДЕЛХИ, ДЖАЙПУР и АГРА (Златният триъгълник)"
"П938","Почивка на остров Тасос – 5 нощувки (Ntinas Filoxenia 4★)","0.44","Bohemia","1100018895","21-1100018895","Почивка на остров Тасос - 3 нощувки със закуски и вечери - хотел &quot;Ntinas Filoxenia&quot; 4* - с организиран транспорт!"
"Е411","Париж – любов и романтика (самолет, на български)","0.43","Bohemia","6000005518","21-6000005518","Екскурзия във ФРАНЦИЯ - Париж - любов и романтика! Директен полет от ВАРНА!"
"Е560","Милано и италианските езера (втора програма)","0.43","Geografski Sviat","566","42-566","Италианските езера, Милано и Швейцария с полет от София"
"Е689","Кападокия – Бурса – Ескишехир – Анкара","0.43","KaraciTours","46277","160-46277","Автобусна екскурзия до Анкара, Кападокия и Ескишехир с 4 нощувки, 4 закуски и 3 вечери"
"Е531","Солна мина Униреа – Букурещ – СПА Терме","0.43","Dary Travel","345","217-345","СПА уикенд в ТЕРМЕ, Букурещ"
"Е517","Съкровищата на Испания – със самолет, на български език","0.4","Bohemia","6000002906","21-6000002906","Съкровищата на Испания - със самолет, на български език! Отстъпки за ранни записвания!"
"Е712","Йонийска мечта – Лефкада, Кефалония и Закинтос","0.4","Bohemia","6000002876","21-6000002876","Йонийска мечта"
"П549","Халкидики – Касандра, почивки на море (автобус)","0.4","ToursClub","437","44-437","Почивка на Халкидики - Касандра със собствен транспорт"
"П945","Халкидики – Ситония, почивки на море (автобус)","0.4","NovaTours","3","116-3","Почивки на Халкидики - Ситония - лято 2026"
"П733","Почивка в Алания (самолет от Пловдив, петък, 7 нощувки)","0.4","OnexTour","219","94-219","Почивка в Алания, Турция с полет от Пловдив до Анталия"
"Е485","Коледа в Белград","0.4","Rual Travel","86","31-86","Коледа - Прага - Братислава - Будапеща - Белград"
"Е666","Формула 1 Гран При в Абу Даби 2026 (от София)","0.4","Belprego Travel","1098","121-1098","FORMULA 1 GRAND PRIX в Абу Даби 2026 от София"
"Е672","Най-доброто от Южна Африка – от Кейптаун до сафари","0.4","Bohemia","6000001712","21-6000001712","Екскурзия в ЮАР - Най-доброто от Южна Африка,  без виза за български граждани!"
"П1073","Скритите съкровища на Тенерифе (чартър от София 2026)","0.38","Go2Holiday","813","85-813","Лято 2026 | Тенерифе, Испания с полет от София"
"Е196","Лазурен бряг и Италианска ривиера","0.38","Profi Tours","719564656","141-719564656","Екскурзия до Френската Ривиера - Лазурен бряг от Сан Ремо, 2026 г."
"Е663","Катар 2026 – Формула 1 Гран При (7 нощувки, хотел 4★)","0.38","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
"Е661","Катар 2026 – Формула 1 Гран При (4 нощувки, хотел 4★)","0.38","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
"Е207","Виетнам – Ханой, Хюе, Хой Ан, Дананг, Златния мост и Сайгон","0.36","Rual Travel","3932","31-3932","Виетнам и Камбоджа с Дананг и Златния мост - октомври 2026"
"Е250","Екскурзия – Остров Бали (7 екскурзии включени в цената)","0.33","Bohemia","6000003724","21-6000003724","Почивка в ИНДОНЕЗИЯ - МЕЧТАНИЯТ ОСТРОВ БАЛИ - с водач от България!"
"П953","Нова година 2026 в Рованиеми, Лапландия","0.33","Rual Travel","2387","31-2387","Нова година - Атина"
"П554","Луксозна почивка в Албания","0.33","Doris","430","111-430","Великден в Албания"
"П735","Почивка в Белек (самолет от Пловдив, петък)","0.33","ToursClub","939","44-939","Почивка в Белек 2026: Самолетна програма със 7 нощувки от Пловдив"
"Е593","Самолетна екскурзия до Рим (3 нощувки, панорамна обиколка с екскурзовод)","0.33","PREMIO TRAVEL","387","92-387","КИТАЙ – ПАНОРАМНА ОБИКОЛКА"
"Е197","Тоскана – романтична въздишка","0.33","Rual Travel","3138","31-3138","Тоскана със самолет"
"Е717","Лисабон и остров Мадейра","0.33","Rual Travel","4432","31-4432","Лисабон"
"Е667","Катар 2026 – Формула 1 Гран При (от Варна, 3 нощувки)","0.33","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
"Е662","Катар 2026 – Формула 1 Гран При (7 нощувки, хотел 4★, вариант 2)","0.33","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
"Е660","Катар 2026 – Формула 1 Гран При (4 нощувки, хотел 4★, вариант 2)","0.33","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
"Е595","Катар 2026 – Формула 1 Гран При (4 нощувки, хотел 4★, премиум)","0.33","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
