"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"Е479","Екскурзия в Италия – Палермо, столицата на Сицилия","449","4","0.94","1","1","0.5","1","Bohemia","6000004464","21-6000004464","449.00","Екскурзия в ИТАЛИЯ - ПАЛЕРМО- столицата на Сицилия"
"Е741","Почивка в Италия – Калабрия, Тропеа (полет до Ламеция Терме)","709","7","0.94","1","1","1","0.4","Bohemia","6000005394","21-6000005394","709.00","Почивка в ИТАЛИЯ - Калабрия, Тропеа - с полет до Ламеция Терме"
"П992","Нова година на о-в Мавриций с чартърен полет от София – 7 нощувки","2204","7","0.933","1","1","1","0.33","Emerald Travel","1124","123-1124","2203.69","Нова година на о-в Мавриций, с чартърен полет от София - 7 нощувки"
"П1067","Почивка в Кемер, Турция (самолет от София, 7 нощувки)","401","7","0.933","1","1","1","0.33","Emerald Travel","1377","123-1377","400.50","Почивка в Кемер, Турция със самолет от София - 7 нощувки"
"П1148","Почивка в Сицилия (самолет от София, 7 нощувки)","569","7","0.933","1","1","1","0.33","Emerald Travel","1743","123-1743","568.90","Почивка в Сицилия, със самолет от София - 7 нощувки"
"П1111","Почивка в Италия – Соренто, Неапол, Амалфи, Позитано, Капри","836","7","0.933","1","1","1","0.33","Bohemia","1100006089","21-1100006089","843.00","Почивка в ИТАЛИЯ - СОРЕНТО, НЕАПОЛ, АМАЛФИ, ПОЗИТАНО, КАПРИ"
"Е625","8-ми март в Милано","558","3","0.933","1","1","1","0.33","Doris","429","111-429","557.65","8-ми март в Милано"
"Е400","Екскурзия в Италия – Соренто, Неапол, Амалфи и о-в Капри (Перлите на Южна Италия)","704","4","0.929","1","1","1","0.29","Bohemia","6000004300","21-6000004300","704.00","Екскурзия в ИТАЛИЯ - Соренто, Неапол, Амалфи и о-в Капри - Перлите на Южна Италия!"
"Е614","Уикенд екскурзия и шопинг тур в Солун","105","1","0.925","1","1","1","0.25","GlobalTour","2459","68-2459","105.00","Уикенд екскурзия и шопинг тур в Солун"
"Е345","Уикенд в Атина – 3 нощувки (самолетна програма)","385","3","0.925","1","1","1","0.25","Bohemia","6000004389","21-6000004389","385.00","Уикенд в Атина – 3 нощувки, самолетна програма с обслужване на български език!"
"П942","Дубай: Рай в Ориента (6 дни)","743","5","0.925","1","1","1","0.25","MarbroTours","179","63-179","743.00","Дубай: Рай в Ориента (6 дни)"
"П941","Дубай: Рай в Ориента (7 дни)","865","6","0.925","1","1","1","0.25","MarbroTours","180","63-180","865.00","Дубай: Рай в Ориента (7 дни)"
"П724","Почивка на о-в Джерба, Тунис (самолет от София, събота)","491","7","0.925","1","1","1","0.25","Emerald Travel","942","123-942","490.85","Почивка на о-в Джерба, Тунис със самолет от София в Събота - 7 нощувки"
"Е536","Коледни базари в Крайова","255","2","0.925","1","1","1","0.25","Bohemia","6000002730","21-6000002730","255.00","Коледни базари в Крайова"
"Е526","Почивка в Дубай – 6 дни (полет на Fly Dubai)","790","5","0.925","1","1","1","0.25","Bohemia","6000004869","21-6000004869","790.00","Почивка в ДУБАЙ - 6 дни, с полет на Fly Dubai!"
"Е718","Почивка на Сейшелите – Екзотична морска почивка на о-в Махе","2050","6","0.92","1","1","1","0.2","Bohemia","6000005157","21-6000005157","2050.00","Почивка на СЕЙШЕЛИТЕ - Екзотична морска почивка на о-в Махе!"
"Е652","Бузуки парти за 8-ми март в Солун","179","2","0.92","1","1","1","0.2","Doris","276","111-276","178.60","Бузуки парти за 8-ми март в Солун"
"Е718","Почивка на Сейшелите – екзотична морска почивка на о-в Махе","2050","6","0.92","1","1","1","0.2","Bohemia","6000005157","21-6000005157","2050.00","Почивка на СЕЙШЕЛИТЕ - Екзотична морска почивка на о-в Махе!"
"Е419","Почивка на Сейшелите сред вълшебната природа на о-в Махе с водач от България","2367","6","0.917","1","1","1","0.17","Bohemia","6000005129","21-6000005129","2366.00","Почивка на Сейшелите сред вълшебната природа на о-в Махе - с водач от България!"
"Е673","Екскурзия в Грузия – Тбилиси и очарованието на Южен Кавказ","1049","4","0.916","1","0.7","1","1","Bohemia","6000005475","21-6000005475","999.00","Екскурзия в ГРУЗИЯ - Тбилиси и очарованието на Южен Кавказ!"
"П1093","Почивка в Тунис (самолет от Пловдив, 7 нощувки)","330","7","0.916","1","0.7","1","1","Emerald Travel","1299","123-1299","324.99","Почивка в Тунис със самолет от Пловдив  - 7 нощувки"
"П1157","Имперските столици – бюджетен вариант (Фес → Маракеш)","1070","7","0.912","1","1","1","0.13","Abax.bg","3163","109-3163","1070.00","ИМПЕРСКИТЕ СТОЛИЦИ - БЮДЖЕТЕН ВАРИАНТ от Фес до Маракеш - хотели 3*/4* - 09.10, 23.10"
"Е532","Екскурзия до Букурещ, Синая, Бран и Брашов (от София и Велико Търново)","166","2","0.912","1","1","1","0.13","GlobalTour","7","68-7","166.00","Екскурзия до Букурещ, Синая, Бран и Брашов от София и Велико Търново"
"Е422","Буенос Айрес, водопадите Игуасу, Рио де Жанейро и Амазония","4929","15","0.9","1","1","1","0","2МКО","1913","20-1913","4929.00","БУЕНОС АЙРЕС, водопадите ИГУАСУ, РИО ДЕ ЖАНЕЙРО и АМАЗОНИЯ"
"П1101","Армения и Грузия – Пътешествие из Кавказките съкровища (хотели 3★)","1171","7","0.9","1","1","1","0","Abax.bg","3108","109-3108","1171.37","Армения и Грузия – Пътешествие из Кавказките съкровища хотели 3*"
"Е642","Най-доброто от Кения и Танзания с водач от България","4499","7","0.9","1","1","1","0","Bohemia","6000004769","21-6000004769","4499.00","Най-доброто от Кения и Танзания с водач от България"
"П1115","Почивка на остров Мавриций","2410","7","0.9","1","1","1","0","MarbroTours","201","63-201","2410.00","Почивка на остров Мавриций"
"Е414","Най-доброто от Виетнам и Камбоджа","2556","7","0.9","1","1","1","0","Bohemia","6000002074","21-6000002074","2556.00","Екскурзия - Най-доброто от ВИЕТНАМ И КАМБОДЖА"
"Е680","Виетнам – Сърцето на Югоизточна Азия","2965","10","0.9","1","1","1","0","PREMIO TRAVEL","503","92-503","2964.98","ВИЕТНАМ – СЪРЦЕТО НА ЮГОИЗТОЧНА АЗИЯ"
"Е457","Китай и Южна Корея – Величие и традиции","3323","10","0.9","1","1","1","0","PREMIO TRAVEL","389","92-389","3322.89","КИТАЙ И ЮЖНА КОРЕЯ – ВЕЛИЧИЕ И ТРАДИЦИИ"
